Key,Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
1,87524,442.2460114,253.291155,0.819738392,90546,0.758650579,1184.04,Keci
2,75166,406.690687,243.0324363,0.801805234,78789,0.68412957,1121.786,Keci
3,90856,442.2670483,266.3283177,0.798353619,93717,0.637612812,1208.575,Keci
4,45928,286.5405586,208.7600423,0.684989217,47336,0.699599385,844.162,Keci
5,79408,352.1907699,290.8275329,0.56401133,81463,0.792771926,1073.251,Keci
6,49242,318.125407,200.12212,0.777351277,51368,0.658456354,881.836,Keci
7,42492,310.1460715,176.1314494,0.823098681,43904,0.665893562,823.796,Keci
8,60952,332.4554716,235.429835,0.706057518,62329,0.74359819,933.366,Keci
9,42256,323.1896072,172.5759261,0.845498789,44743,0.698030924,849.728,Keci
10,64380,366.9648423,227.7716147,0.784055626,66125,0.664375716,981.544,Keci
11,80437,449.4545811,232.3255064,0.856042518,84460,0.674235757,1176.305,Keci
12,43725,301.3222176,186.9506295,0.784258452,45021,0.697068248,818.873,Keci
13,43441,276.6108288,201.8131355,0.683882337,45133,0.690855598,803.748,Keci
14,76792,338.8575454,291.3592017,0.510583813,78842,0.772322237,1042.77,Keci
15,74167,387.7989307,247.8581228,0.769089738,76807,0.680181585,1084.729,Keci
16,33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,Keci
17,64670,403.0839752,206.4846437,0.858829168,66419,0.75677257,1028.445,Keci
18,64762,354.2939396,235.7524629,0.746473726,66713,0.694998015,981.509,Keci
19,43295,304.2844667,182.8110368,0.799406959,44714,0.713838189,814.68,Keci
20,70699,418.6985723,216.5960537,0.855799392,72363,0.728075054,1061.321,Keci
21,69726,354.1769124,252.529208,0.701160962,71849,0.734398534,1035.501,Keci
22,57346,330.4784385,222.4437485,0.739555027,59365,0.723608833,928.272,Keci
23,82028,397.1149759,268.3337727,0.737169367,84427,0.686375085,1106.355,Keci
24,61251,301.5077895,273.6599414,0.419753707,64732,0.643595671,971.769,Keci
25,96277,447.1345225,275.2161542,0.788128405,97865,0.704057157,1181.921,Keci
26,75620,368.2242844,263.4592554,0.698627251,77493,0.726277372,1059.186,Keci
27,73167,340.055218,276.0151772,0.58410581,74545,0.778736856,1010.474,Keci
28,60847,336.9238696,231.4656959,0.726660229,62492,0.69858783,964.603,Keci
29,81021,347.7500583,297.6406265,0.517134931,82552,0.757559607,1063.868,Keci
30,59902,358.5919148,222.9020273,0.783331958,63250,0.744124224,982.788,Keci
31,88745,429.770355,265.6902361,0.786009488,90715,0.752063524,1162.877,Keci
32,41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,Keci
33,75329,364.2307798,265.8668635,0.683510499,77541,0.723079729,1075.792,Keci
34,61600,350.1827545,225.8427713,0.764243075,63397,0.746829611,972.472,Keci
35,46427,253.8420284,235.9068241,0.369212459,48275,0.684219059,844.312,Keci
36,40861,249.7402266,213.5732718,0.51832833,43096,0.743089401,784.912,Keci
37,55827,305.298843,234.6612245,0.639696077,57724,0.703287982,926.095,Keci
38,54182,366.0666742,192.013274,0.851391425,56450,0.611417674,968.729,Keci
39,77468,405.9365937,245.9897977,0.795479241,79220,0.721545397,1100.676,Keci
40,49882,287.2643272,222.1858727,0.633851884,50880,0.766377827,843.764,Keci
41,95245,397.094114,307.2739224,0.633422315,97988,0.75304396,1201.39,Keci
42,71464,364.1030896,253.7969272,0.717025543,73265,0.715484271,1036.94,Keci
43,77055,375.2501319,262.8124219,0.713783938,79255,0.732267077,1095.283,Keci
44,92384,368.4062138,320.7145792,0.492086934,93772,0.749006827,1135.662,Keci
45,77310,436.5298989,228.2803725,0.852367489,80138,0.631720869,1141.189,Keci
46,57580,330.2283748,232.0553872,0.711474579,60232,0.645103465,992.114,Keci
47,69708,375.4472798,239.1327753,0.770923534,71321,0.727177893,1022.568,Keci
48,41502,260.5126753,205.8650238,0.612809911,43114,0.824319225,790.427,Keci
49,45800,330.0086832,181.6658648,0.834842987,47802,0.732682771,870.387,Keci
50,52623,311.9967579,218.0411235,0.7152614,54175,0.675190536,902.624,Keci
51,44939,317.6167119,183.3152147,0.816632082,46400,0.656177905,845.786,Keci
52,114648,508.1289326,288.9539812,0.822570794,118314,0.681904966,1340.897,Keci
53,65727,403.1942717,210.0732642,0.853542978,67372,0.616981132,1030.155,Keci
54,45683,333.2625321,177.7720961,0.845844473,48787,0.634230657,901.102,Keci
55,111450,478.3109708,298.630592,0.781149506,113256,0.690092879,1298.188,Keci
56,47581,306.8118747,203.097502,0.749538262,49203,0.667775392,861.58,Keci
57,57127,311.6445775,238.6419206,0.643138024,59943,0.693625546,952.023,Keci
58,53006,333.3813698,206.8807081,0.784164747,55456,0.691695375,936.371,Keci
59,69060,328.4888612,275.8888648,0.542783247,72223,0.727023897,1039.551,Keci
60,25387,225.629541,144.618672,0.767577386,26139,0.678144032,619.074,Keci
61,66774,348.5579747,246.4762569,0.707082253,69097,0.692446491,1003.374,Keci
62,47839,312.6013291,198.7512989,0.771855496,50166,0.702770596,868.06,Keci
63,78571,443.8222908,228.7576146,0.856934002,81718,0.642192762,1157.33,Keci
64,64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.989,Keci
65,60462,373.3428463,208.1086262,0.830230914,62213,0.665683112,990.547,Keci
66,59370,345.9492049,221.9219567,0.767133811,61464,0.697485902,981.517,Keci
67,54056,332.2676409,208.6190158,0.778322762,55539,0.674553259,912.153,Keci
68,89235,443.5159353,258.9467393,0.811861615,91201,0.655190643,1179.694,Keci
69,51727,321.1271422,208.7667575,0.759843328,52913,0.751889645,903.308,Keci
70,71595,387.3096951,236.7511846,0.791421357,74045,0.718536732,1069.77,Keci
71,95347,451.5261542,280.2261534,0.784111496,99256,0.674956111,1255.245,Keci
72,60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198,Keci
73,69006,379.3178462,241.8502909,0.77037364,72895,0.697453002,1086.857,Keci
74,68520,373.235638,237.0415232,0.772430874,70759,0.712858926,1049.093,Keci
75,52731,309.9772864,219.7253525,0.70536589,54438,0.695879962,894.48,Keci
76,50570,311.3447951,208.3178983,0.74318078,51743,0.720863268,873.777,Keci
77,75825,391.2043013,248.5002712,0.772332349,77437,0.745370006,1081.339,Keci
78,42637,293.4295802,189.4321576,0.763692969,44052,0.725119048,814.182,Keci
79,76984,425.0481856,233.9734424,0.834859339,78641,0.758754595,1091.754,Keci
80,47851,323.1525189,191.6109615,0.805244577,49187,0.773237024,860.402,Keci
81,51220,328.6476055,202.5088754,0.787598712,52903,0.692470967,896.728,Keci
82,53890,331.0863197,216.5794558,0.756366569,57109,0.704444444,957.132,Keci
83,58650,346.3389582,219.6843649,0.773083296,62380,0.660287081,991.612,Keci
84,98935,387.5169377,326.8987235,0.537014933,100747,0.740420596,1176.6,Keci
85,77587,396.8075663,251.9449198,0.772569894,79970,0.703864647,1100.836,Keci
86,180898,843.9566534,323.1905688,0.923770364,221396,0.454188929,2253.557,Keci
87,71266,390.707154,235.6868033,0.797566261,73002,0.66062887,1034.183,Keci
88,39457,267.5569406,188.7651659,0.708695988,40472,0.697576154,755.822,Keci
89,35237,267.5537786,173.5251032,0.761162183,37418,0.706832223,750.909,Keci
90,49059,301.8003982,210.4672152,0.716709132,50835,0.698607314,867.582,Keci
91,53896,319.0720226,217.6957013,0.731093185,55392,0.745944749,889.626,Keci
92,56469,325.341425,225.1150238,0.721960082,58697,0.685736144,933.896,Keci
93,85156,422.2791325,260.2106227,0.7875856,87057,0.702560887,1140.684,Keci
94,67044,361.2553722,238.2264457,0.751756706,68626,0.756943504,989.016,Keci
95,52243,331.4511469,206.7595988,0.781583108,55774,0.714434188,934.547,Keci
96,38968,269.4020207,185.7275682,0.724374455,40147,0.737583283,769.242,Keci
97,79661,360.0734473,282.7390316,0.619209281,81032,0.779156886,1045.658,Keci
98,59282,329.2425655,233.7746492,0.704163616,60580,0.725925745,920.573,Keci
99,48177,305.784503,202.4661938,0.74939737,49877,0.677642591,860.548,Keci
100,74904,342.8963104,280.1155681,0.57676457,75898,0.731741628,1012.365,Keci
101,81581,424.2783146,245.5074738,0.81557794,83143,0.762382252,1114.736,Keci
102,57820,376.1911744,199.7971077,0.847305856,59968,0.714780201,978.85,Keci
103,57808,309.9716571,241.3665105,0.627430162,58954,0.710346522,911.857,Keci
104,55306,353.1546092,204.126836,0.816029801,57396,0.743990207,973.259,Keci
105,59459,347.1551548,222.109478,0.768542385,61585,0.709619286,966.329,Keci
106,44247,319.7903082,178.6479431,0.829409642,45872,0.677637221,842.121,Keci
